Run Time:2019-08-03 22:39:16
Operating system:Windows 10
power on 	Time:	2019-08-03 16:06:45
power off 	Time:	2019-08-03 16:06:07
power on 	Time:	2019-08-01 12:41:15
power on 	Time:	2019-07-30 17:52:38
power off 	Time:	2019-07-30 17:01:21
power on 	Time:	2019-07-29 22:06:09
power off 	Time:	2019-07-29 22:05:43
power on 	Time:	2019-07-29 21:51:32
power off 	Time:	2019-07-29 21:51:06
power on 	Time:	2019-07-29 09:24:52
power on 	Time:	2019-07-28 16:36:39
power on 	Time:	2019-07-25 16:08:31
power off 	Time:	2019-07-25 16:08:04
power on 	Time:	2019-07-25 09:16:44
power off 	Time:	2019-07-25 09:16:17
power on 	Time:	2019-07-24 09:36:55
power on 	Time:	2019-07-17 08:20:40
power off 	Time:	2019-07-17 08:20:14
power on 	Time:	2019-07-15 19:51:53
power off 	Time:	2019-07-15 19:51:20
power on 	Time:	2019-07-11 14:35:48
power off 	Time:	2019-07-11 14:35:19
power on 	Time:	2019-07-10 15:01:46
power off 	Time:	2019-07-10 15:01:18
power on 	Time:	2019-07-10 08:25:14
power off 	Time:	2019-07-10 08:24:47
power on 	Time:	2019-07-10 08:10:06
power on 	Time:	2019-07-09 13:46:09
power off 	Time:	2019-07-09 13:45:39
power on 	Time:	2019-07-09 12:58:33
power on 	Time:	2019-07-05 21:47:42
power off 	Time:	2019-07-05 21:47:21
power on 	Time:	2019-07-05 21:37:02
power on 	Time:	2019-06-24 20:14:23
power off 	Time:	2019-06-24 20:13:54
power on 	Time:	2019-06-24 15:50:38
power off 	Time:	2019-06-24 15:50:12
power on 	Time:	2019-06-21 01:12:14
power off 	Time:	2019-06-21 01:11:52
power on 	Time:	2019-06-21 01:11:51
power off 	Time:	2019-06-21 01:10:59
power on 	Time:	2019-06-17 15:33:33
power off 	Time:	2019-06-17 15:33:07
power on 	Time:	2019-06-16 01:26:33
power on 	Time:	2019-06-15 00:41:24
power off 	Time:	2019-06-15 00:40:56
power on 	Time:	2019-06-13 08:38:04
power on 	Time:	2019-06-10 17:23:11
power off 	Time:	2019-06-10 17:22:45
power on 	Time:	2019-06-10 16:50:54
power off 	Time:	2019-06-10 16:50:25
power on 	Time:	2019-06-03 19:12:25
power off 	Time:	2019-06-03 19:11:57
power on 	Time:	2019-05-30 17:01:28
power off 	Time:	2019-05-30 17:00:58
power on 	Time:	2019-05-28 10:59:13
power off 	Time:	2019-05-28 10:58:47
power on 	Time:	2019-05-22 19:22:26
power off 	Time:	2019-05-22 19:21:53
power on 	Time:	2019-05-02 09:29:31
power off 	Time:	2019-05-02 09:29:05
power on 	Time:	2019-05-01 22:49:40
power off 	Time:	2019-05-01 22:49:11
power on 	Time:	2019-04-23 18:11:42
power off 	Time:	2019-04-23 18:11:16
power on 	Time:	2019-04-18 15:05:05
power off 	Time:	2019-04-18 15:04:38
power on 	Time:	2019-04-15 07:50:11
power on 	Time:	2019-04-13 10:26:55
power on 	Time:	2019-04-13 10:01:30
power off 	Time:	2019-04-13 10:01:05
power on 	Time:	2019-04-10 07:44:40
power off 	Time:	2019-04-10 07:44:08
power on 	Time:	2019-04-09 22:07:09
power on 	Time:	2019-04-09 22:00:23
power off 	Time:	2019-04-09 21:59:52
power on 	Time:	2019-04-09 00:37:31
power off 	Time:	2019-04-09 00:36:59
power on 	Time:	2019-04-09 00:35:05
